State	Personal Income	GDP	Population
Alabama	136970	132477	4557808
Alaska	24884	29112	663661
Arizona	186324	193145	5939292
Arkansas	76628	76429	2779154
California	1382235	1457090	36132147
Colorado	179747	189470	4665177
Connecticut	170946	171934	3510297
Delaware	32359	49001	843524
District of Columbia	31779	69470	550521
Florida	635237	585113	17789864
Georgia	291712	320364	9072576
Hawaii	45455	46918	1275194
Idaho	41433	42196	1429096
Illinois	471729	492341	12763371
Indiana	196147	210869	6271973
Iowa	94728	103648	2966334
Kansas	91393	91508	2744687
Kentucky	120339	122763	4173405
Louisiana	139136	138815	4523628
Maine	41217	39312	1321505
Maryland	237261	213775	5600388
Massachusetts	286627	292225	6398743
Michigan	333767	339507	10120860
Minnesota	193182	207436	5132799
Mississippi	79187	68345	2921088
Missouri	185617	190502	5800310
Montana	27962	25228	935670
Nebraska	58869	63028	1758787
Nevada	92898	95418	2414807
New Hampshire	49646	48906	1309940
New Jersey	383635	380499	8717925
New Mexico	55357	58860	1928384
New York	815336	870010	19254630
North Carolina	272453	310152	8683242
North Dakota	20732	21252	636677
Ohio	370823	392872	11464042
Oklahoma	109414	99084	3547884
Oregon	116610	132659	3641056
Pennsylvania	439320	426032	12429616
Rhode Island	39053	38065	1076189
South Carolina	123344	123738	4255083
South Dakota	24979	27023	775933
Tennessee	188492	201141	5962959
Texas	785614	831785	22859968
Utah	72654	76959	2469585
Vermont	20620	20930	623050
Virginia	292760	308830	7567465
Washington	230536	239980	6287759
West Virginia	48789	44739	1816856
Wisconsin	184195	193162	5536201
Wyoming	19501	19713	509294
